wowping 1.6.1 - wowping@tanstaafl.com.au

Data gathered on Mon Aug  2 02:08:26 WST 2010

This tool builds a dynamic list of World of Warcraft realms and calculates
each realm's latency.  The in-game latency display will be greater than the
latency listed below, but the list will give an indication of the relative
latency of realms from Perth, Western Australia.

Realms with a latency of "Timeout" indicate the server is either not
contactable or it's latency is greater than 2 seconds.  A latency of
"Unknown" means the IP address of the server is not available so it's
latency cannot be calculated.

The IP address of a realm may change at any time and some realms change
more requently than others.  Once a realm's IP address is no longer is use
it may then be taken by a different realm.  For these reasons the older the
realm IP list is, the less likely it is to be accurate.  It isn't difficult
to obtain a current listing of realm IP addresses although one must use the
World of Warcraft client.  As I no longer have this installed on my PC,
this task is left to someone else.

Server list generated dynamically via data from
http://www.wowwiki.com/US_realm_list_by_datacenter and
http://www.wowwiki.com/EU_English_Realms_Info

+------------+---------------------+--------+---------------+-------------+
| Latency in | Realm name          | Type   | Timezone      | Battlegroup |
| seconds    |                     |        |               |             |
+------------+---------------------+--------+---------------+-------------+
| 0.30       | Drak'thul           | PvP    | US Central    | Vengeance   |
| 0.30       | Korialstrasz        | PvE    | US Pacific    | Whirlwind   |
| 0.30       | Quel'dorei          | PvE    | US Central    | Emberstorm  |
| 0.31       | Antonidas           | PvE    | US Pacific    | Emberstorm  |
| 0.31       | Blackwater Raiders  | RP-PvE | US Pacific    | Whirlwind   |
| 0.31       | Bladefist           | PvE    | US Pacific    | Whirlwind   |
| 0.31       | Shandris            | PvE    | US Eastern    | Emberstorm  |
| 0.31       | Sisters of Elune    | RP-PvE | US Central    | Whirlwind   |
| 0.31       | The Forgotten Coast | PvP    | US Eastern    | Whirlwind   |
| 0.31       | Wyrmrest Accord     | RP-PvE | US Pacific    | Emberstorm  |
| 0.32       | Borean Tundra       | PvE    | US Central    | Emberstorm  |
| 0.32       | Cenarion Circle     | RP-PvE | US Pacific    | Whirlwind   |
| 0.32       | Cenarius            | PvE    | US Pacific    | Whirlwind   |
| 0.32       | Darrowmere          | PvP    | US Pacific    | Whirlwind   |
| 0.32       | Drak'Tharon         | PvP    | US Central    | Emberstorm  |
| 0.32       | Drenden             | PvE    | US Eastern    | Emberstorm  |
| 0.32       | Echo Isles          | PvE    | US Pacific    | Whirlwind   |
| 0.32       | Farstriders         | RP-PvE | US Central    | Emberstorm  |
| 0.32       | Fenris              | PvE    | US Eastern    | Whirlwind   |
| 0.32       | Hydraxis            | PvE    | US Central    | Emberstorm  |
| 0.32       | Hyjal               | PvE    | US Pacific    | Whirlwind   |
| 0.32       | Lightbringer        | PvE    | US Pacific    | Whirlwind   |
| 0.32       | Maiev               | PvP    | US Pacific    | Whirlwind   |
| 0.32       | Misha               | PvE    | US Pacific    | Whirlwind   |
| 0.32       | Mok'Nathal          | PvE    | US Central    | Emberstorm  |
| 0.32       | Moon Guard          | RP-PvE | US Central    | Emberstorm  |
| 0.32       | Nazgrel             | PvE    | US Eastern    | Emberstorm  |
| 0.32       | Nesingwary          | PvE    | US Central    | Emberstorm  |
| 0.32       | Ravenholdt          | RP-PvP | US Eastern    | Whirlwind   |
| 0.32       | Rivendare           | PvP    | US Pacific    | Emberstorm  |
| 0.32       | Tortheldrin         | PvP    | US Eastern    | Emberstorm  |
| 0.32       | Vashj               | PvP    | US Pacific    | Whirlwind   |
| 0.33       | Nordrassil          | PvE    | US Pacific    | Emberstorm  |
| 0.33       | Shu'halo            | PvE    | US Pacific    | Whirlwind   |
| 0.33       | Uther               | PvE    | US Pacific    | Whirlwind   |
| 0.34       | Argent Dawn         | RP-PvE | US Eastern    | Ruin        |
| 0.34       | Bloodhoof           | PvE    | US Eastern    | Ruin        |
| 0.34       | Destromath          | PvP    | US Pacific    | Rampage     |
| 0.34       | Durotan             | PvE    | US Eastern    | Ruin        |
| 0.34       | Kirin Tor           | RP-PvE | US Central    | Rampage     |
| 0.34       | Lightninghoof       | RP-PvP | US Central    | Shadowburn  |
| 0.34       | Maelstrom           | RP-PvP | US Central    | Shadowburn  |
| 0.34       | Moonrunner          | PvE    | US Pacific    | Shadowburn  |
| 0.34       | Winterhoof          | PvE    | US Central    | Whirlwind   |
| 0.35       | Aggramar            | PvE    | US Central    | Vindication |
| 0.35       | Alexstrasza         | PvE    | US Central    | Rampage     |
| 0.35       | Arthas              | PvP    | US Eastern    | Ruin        |
| 0.35       | Azgalor             | PvP    | US Central    | Ruin        |
| 0.35       | Azshara             | PvP    | US Eastern    | Shadowburn  |
| 0.35       | Baelgun             | PvE    | US Pacific    | Shadowburn  |
| 0.35       | Balnazzar           | PvP    | US Central    | Rampage     |
| 0.35       | Blackhand           | PvE    | US Central    | Rampage     |
| 0.35       | Bleeding Hollow     | PvP    | US Eastern    | Ruin        |
| 0.35       | Burning Blade       | PvP    | US Eastern    | Vindication |
| 0.35       | Burning Legion      | PvP    | US Central    | Vindication |
| 0.35       | Dark Iron           | PvP    | US Pacific    | Shadowburn  |
| 0.35       | Detheroc            | PvP    | US Central    | Shadowburn  |
| 0.35       | Drakkari            | PvP    | US Central    | Vindication |
| 0.35       | Elune               | PvE    | US Eastern    | Ruin        |
| 0.35       | Emerald Dream       | RP-PvP | US Central    | Shadowburn  |
| 0.35       | Eonar               | PvE    | US Eastern    | Vindication |
| 0.35       | Eredar              | PvP    | US Eastern    | Vindication |
| 0.35       | Garona              | PvE    | US Central    | Rampage     |
| 0.35       | Gilneas             | PvE    | US Eastern    | Vindication |
| 0.35       | Gorgonnash          | PvP    | US Pacific    | Rampage     |
| 0.35       | Greymane            | PvE    | US Central    | Shadowburn  |
| 0.35       | Gul'dan             | PvP    | US Central    | Rampage     |
| 0.35       | Hellscream          | PvE    | US Central    | Rampage     |
| 0.35       | Illidan             | PvP    | US Central    | Rampage     |
| 0.35       | Kael'thas           | PvE    | US Central    | Rampage     |
| 0.35       | Kalecgos            | PvP    | US Pacific    | Shadowburn  |
| 0.35       | Kargath             | PvE    | US Eastern    | Vindication |
| 0.35       | Lightning's Blade   | PvP    | US Eastern    | Vindication |
| 0.35       | Llane               | PvE    | US Eastern    | Vindication |
| 0.35       | Lothar              | PvE    | US Eastern    | Ruin        |
| 0.35       | Madoran             | PvE    | US Central    | Ruin        |
| 0.35       | Malygos             | PvE    | US Central    | Vindication |
| 0.35       | Mannoroth           | PvP    | US Eastern    | Ruin        |
| 0.35       | Medivh              | PvE    | US Eastern    | Ruin        |
| 0.35       | Nazjatar            | PvP    | US Pacific    | Shadowburn  |
| 0.35       | Quel'Thalas         | PvE    | US Central    | Vindication |
| 0.35       | Ragnaros            | PvP    | US Central    | Vindication |
| 0.35       | Ravencrest          | PvE    | US Central    | Rampage     |
| 0.35       | Sargeras            | PvP    | US Central    | Shadowburn  |
| 0.35       | Shadowmoon          | PvP    | US Eastern    | Vindication |
| 0.35       | Shattered Hand      | PvP    | US Eastern    | Ruin        |
| 0.35       | Skullcrusher        | PvP    | US Eastern    | Ruin        |
| 0.35       | Spinebreaker        | PvP    | US Pacific    | Rampage     |
